pos00,pos01,pos02,pos10,pos11,pos12,pos20,pos21,pos22,player,step,result,game_id,state
1,0,0,0,0,0,0,0,0,1,0,1,858,start
1,0,-1,0,0,0,0,0,0,-1,1,1,858,mid
1,0,-1,0,0,0,1,0,0,1,2,1,858,mid
1,0,-1,0,0,0,1,-1,0,-1,3,1,858,mid
1,1,-1,0,0,0,1,-1,0,1,4,1,858,mid
1,1,-1,0,0,-1,1,-1,0,-1,5,1,858,mid
1,1,-1,0,1,-1,1,-1,0,1,6,1,858,mid
1,1,-1,-1,1,-1,1,-1,0,-1,7,1,858,mid
1,1,-1,-1,1,-1,1,-1,1,1,8,1,858,end
0,0,0,1,0,0,0,0,0,1,0,-1,859,start
0,0,0,1,0,-1,0,0,0,-1,1,-1,859,mid
0,0,1,1,0,-1,0,0,0,1,2,-1,859,mid
0,0,1,1,0,-1,0,-1,0,-1,3,-1,859,mid
0,1,1,1,0,-1,0,-1,0,1,4,-1,859,mid
0,1,1,1,0,-1,-1,-1,0,-1,5,-1,859,mid
0,1,1,1,1,-1,-1,-1,0,1,6,-1,859,mid
0,1,1,1,1,-1,-1,-1,-1,-1,7,-1,859,end
0,0,0,0,1,0,0,0,0,1,0,-1,860,start
-1,0,0,0,1,0,0,0,0,-1,1,-1,860,mid
-1,0,1,0,1,0,0,0,0,1,2,-1,860,mid
-1,0,1,0,1,0,-1,0,0,-1,3,-1,860,mid
-1,1,1,0,1,0,-1,0,0,1,4,-1,860,mid
-1,1,1,-1,1,0,-1,0,0,-1,5,-1,860,end
0,0,0,0,1,0,0,0,0,1,0,1,861,start
-1,0,0,0,1,0,0,0,0,-1,1,1,861,mid
-1,0,0,1,1,0,0,0,0,1,2,1,861,mid
-1,0,0,1,1,0,0,0,-1,-1,3,1,861,mid
-1,0,0,1,1,0,1,0,-1,1,4,1,861,mid
-1,-1,0,1,1,0,1,0,-1,-1,5,1,861,mid
-1,-1,0,1,1,1,1,0,-1,1,6,1,861,end
0,0,0,0,0,0,0,0,1,1,0,1,862,start
0,0,0,0,0,0,-1,0,1,-1,1,1,862,mid
0,0,1,0,0,0,-1,0,1,1,2,1,862,mid
0,0,1,0,-1,0,-1,0,1,-1,3,1,862,mid
0,0,1,0,-1,1,-1,0,1,1,4,1,862,end
0,0,0,0,1,0,0,0,0,1,0,1,863,start
-1,0,0,0,1,0,0,0,0,-1,1,1,863,mid
-1,0,0,1,1,0,0,0,0,1,2,1,863,mid
-1,0,0,1,1,0,0,0,-1,-1,3,1,863,mid
-1,0,0,1,1,0,1,0,-1,1,4,1,863,mid
-1,0,-1,1,1,0,1,0,-1,-1,5,1,863,mid
-1,0,-1,1,1,1,1,0,-1,1,6,1,863,end
0,0,0,0,0,0,0,1,0,1,0,-1,864,start
0,0,0,0,-1,0,0,1,0,-1,1,-1,864,mid
0,0,0,0,-1,0,0,1,1,1,2,-1,864,mid
0,0,-1,0,-1,0,0,1,1,-1,3,-1,864,mid
0,0,-1,1,-1,0,0,1,1,1,4,-1,864,mid
-1,0,-1,1,-1,0,0,1,1,-1,5,-1,864,mid
-1,0,-1,1,-1,1,0,1,1,1,6,-1,864,mid
-1,0,-1,1,-1,1,-1,1,1,-1,7,-1,864,end
1,0,0,0,0,0,0,0,0,1,0,0,865,start
1,0,0,-1,0,0,0,0,0,-1,1,0,865,mid
1,0,0,-1,0,1,0,0,0,1,2,0,865,mid
1,0,0,-1,0,1,0,0,-1,-1,3,0,865,mid
1,0,0,-1,0,1,0,1,-1,1,4,0,865,mid
1,0,0,-1,-1,1,0,1,-1,-1,5,0,865,mid
1,0,1,-1,-1,1,0,1,-1,1,6,0,865,mid
1,-1,1,-1,-1,1,0,1,-1,-1,7,0,865,mid
1,-1,1,-1,-1,1,1,1,-1,1,8,0,865,end
0,0,0,0,0,0,1,0,0,1,0,1,866,start
-1,0,0,0,0,0,1,0,0,-1,1,1,866,mid
-1,0,0,0,0,0,1,0,1,1,2,1,866,mid
-1,0,0,0,-1,0,1,0,1,-1,3,1,866,mid
-1,0,0,0,-1,0,1,1,1,1,4,1,866,end
0,0,0,0,0,0,0,0,1,1,0,1,867,start
0,0,0,0,-1,0,0,0,1,-1,1,1,867,mid
0,0,1,0,-1,0,0,0,1,1,2,1,867,mid
0,0,1,0,-1,0,0,-1,1,-1,3,1,867,mid
0,1,1,0,-1,0,0,-1,1,1,4,1,867,mid
0,1,1,-1,-1,0,0,-1,1,-1,5,1,867,mid
0,1,1,-1,-1,1,0,-1,1,1,6,1,867,end
1,0,0,0,0,0,0,0,0,1,0,1,868,start
1,0,0,0,-1,0,0,0,0,-1,1,1,868,mid
1,0,1,0,-1,0,0,0,0,1,2,1,868,mid
1,0,1,0,-1,0,0,0,-1,-1,3,1,868,mid
1,0,1,0,-1,0,0,1,-1,1,4,1,868,mid
1,0,1,0,-1,0,-1,1,-1,-1,5,1,868,mid
1,1,1,0,-1,0,-1,1,-1,1,6,1,868,end
0,0,0,0,1,0,0,0,0,1,0,1,869,start
0,0,0,0,1,-1,0,0,0,-1,1,1,869,mid
0,0,0,0,1,-1,0,0,1,1,2,1,869,mid
-1,0,0,0,1,-1,0,0,1,-1,3,1,869,mid
-1,0,0,0,1,-1,1,0,1,1,4,1,869,mid
-1,0,0,-1,1,-1,1,0,1,-1,5,1,869,mid
